sector,state,collateral_type,business_age_months,monthly_revenue,monthly_expenses,loan_amount,loan_tenor_months,interest_rate,avg_monthly_txn_count,avg_txn_value,airtime_topup_freq_monthly,mobile_money_balance_volatility,utility_payment_consistency,prior_loans_count,prior_default_count,bvn_linked,has_registered_business,owner_age,default
Trading,Enugu,Inventory,126,141040.88,103672.7,321947.01,9,0.362,46,3066.11,6,0.867,0.403,1,0,1,0,24,0
Fashion,Enugu,Property,119,511335.11,383972.3,1391253.64,3,0.197,74,6909.93,11,0.345,0.515,2,1,1,1,34,0
Transport,Abuja,None,164,151212.16,92540.15,318696.87,24,0.262,63,2400.19,8,0.425,0.323,2,1,1,1,42,0
Tech,Abuja,None,66,4580803.17,3386599.68,5070565.52,3,0.244,61,75095.13,11,0.645,0.708,2,0,1,0,62,0
Tech,Delta,Property,135,883142.72,658164.37,764564.95,6,0.239,45,19625.39,9,0.562,0.708,3,0,1,0,27,0
Food Services,Kaduna,Equipment,41,816879.08,560540.08,2127030.23,9,0.214,56,14587.13,10,0.707,0.378,1,0,0,0,23,1
Trading,Kano,Inventory,168,898845.17,839512.82,1694403.79,24,0.206,64,14044.46,4,0.765,0.377,2,0,0,1,33,0
Transport,Rivers,Property,15,1256786.43,656254.67,1206113.0,9,0.411,57,22048.88,11,0.386,0.453,1,1,1,1,24,0
Agric,Abuja,Property,135,1759146.6,1208036.97,3015514.75,9,0.447,60,29319.11,6,0.151,0.623,0,0,0,1,60,0
Trading,Oyo,Inventory,19,178581.7,158199.99,145688.13,24,0.198,58,3078.99,8,0.536,0.425,2,1,1,0,33,1
Tech,Oyo,Vehicle,158,2371800.28,1406053.96,1809515.5,9,0.387,52,45611.54,7,0.279,0.689,1,0,1,0,34,0
Food Services,Rivers,Equipment,172,2238334.82,2060944.25,6267208.37,18,0.218,51,43888.92,7,0.239,0.279,0,0,0,1,32,0
Fashion,Lagos,Equipment,147,687136.37,475134.78,1279151.03,3,0.307,64,10736.51,6,0.148,0.641,2,0,1,0,50,0
Fashion,Kano,Inventory,142,655493.84,373939.27,735648.66,12,0.209,63,10404.66,3,0.411,0.91,0,0,1,0,59,0
Fashion,Kaduna,None,86,44690.46,24217.53,120805.78,18,0.231,62,720.81,8,0.06,0.971,0,0,1,0,48,0
Fashion,Rivers,None,44,238090.93,154088.0,713608.66,6,0.273,53,4492.28,11,0.19,0.952,2,2,1,0,35,0
Tech,Kano,Property,177,1163524.53,1063316.88,3153739.12,18,0.362,58,20060.77,8,0.436,0.251,0,0,0,1,47,1
Trading,Rivers,Equipment,95,2149091.43,1982736.76,5091150.88,24,0.292,60,35818.19,11,0.696,0.964,3,1,1,1,59,0
Fashion,Rivers,None,147,1405569.66,1059053.19,4083414.97,3,0.393,60,23426.16,7,0.341,0.66,3,0,1,0,24,1
Tech,Oyo,Equipment,128,681367.06,376922.47,676916.42,6,0.179,75,9084.89,7,0.302,0.868,3,0,1,1,43,0
Tech,Abuja,None,126,4127925.05,2912113.3,11121596.26,3,0.322,76,54314.8,9,0.227,0.68,0,0,1,0,21,0
Retail,Abuja,None,64,1802451.07,1240071.67,2517751.41,24,0.182,42,42915.5,5,0.654,0.773,0,0,1,1,44,0
Agric,Delta,Vehicle,77,511731.95,309076.16,297108.89,6,0.185,62,8253.74,8,0.131,0.998,4,0,1,1,22,0
Food Services,Rivers,Inventory,79,5198598.29,2777166.85,3020098.94,24,0.243,60,86643.3,11,0.61,0.801,3,0,1,0,59,0
Fashion,Rivers,None,108,271970.66,182684.93,263698.91,9,0.181,55,4944.92,7,0.223,0.528,4,1,0,1,36,0
Transport,Delta,Inventory,129,193947.7,129428.05,474924.03,24,0.383,72,2693.72,9,0.354,0.32,1,0,1,0,51,0
Retail,Oyo,Inventory,36,499321.35,407841.12,1368979.08,12,0.302,65,7681.87,6,0.208,0.274,0,0,1,0,45,0
Fashion,Lagos,Equipment,41,368510.26,249629.55,302143.68,6,0.343,59,6245.94,2,0.125,0.856,1,0,1,1,55,0
Tech,Kano,Vehicle,9,525214.25,265711.24,1372624.61,12,0.167,69,7611.8,5,0.317,0.265,4,0,1,1,29,1
Tech,Oyo,Inventory,95,1495964.38,761458.45,3573381.83,3,0.217,61,24524.01,5,0.369,0.964,1,0,0,1,37,0
Tech,Abuja,Inventory,120,707447.28,572595.07,446088.13,6,0.307,55,12862.68,7,0.39,0.77,2,0,1,0,47,0
Agric,Oyo,Inventory,38,723990.04,577276.06,1685791.9,12,0.175,66,10969.55,14,0.362,0.405,1,0,1,1,29,0
Trading,Enugu,Inventory,128,769066.97,440028.26,458323.98,18,0.198,52,14789.75,8,0.316,0.822,2,0,1,0,47,0
Tech,Abuja,None,1,91026.6,80995.58,105268.4,9,0.157,59,1542.82,4,0.069,0.667,1,0,1,1,56,1
Food Services,Kaduna,None,156,186514.74,148872.38,340813.44,24,0.423,71,2626.97,5,0.895,0.229,0,0,0,1,29,1
Trading,Kano,Property,124,515668.74,293582.98,1430025.4,9,0.279,76,6785.12,9,0.705,0.979,1,1,1,0,61,0
Food Services,Delta,Inventory,123,341589.18,215005.05,260762.17,9,0.164,57,5992.79,10,0.835,0.63,2,1,1,1,24,1
Fashion,Lagos,Inventory,127,592076.58,555455.62,811596.91,12,0.288,66,8970.86,3,0.475,0.405,3,0,0,1,48,1
Agric,Abuja,None,65,2581072.43,1764126.58,5013196.65,9,0.416,67,38523.47,6,0.728,0.798,1,0,1,0,39,0
Transport,Enugu,Property,179,682143.59,413752.46,1603387.47,18,0.207,69,9886.14,9,0.845,0.267,1,1,0,0,21,0
Agric,Delta,None,134,221914.76,163297.9,618803.01,24,0.221,72,3082.15,6,0.389,0.974,0,0,0,1,47,0
Fashion,Rivers,Inventory,33,357256.82,211674.05,597378.17,6,0.445,73,4893.93,6,0.746,0.338,0,0,1,1,28,0
Transport,Delta,Property,166,3400790.01,2912003.32,8849701.2,9,0.406,55,61832.55,11,0.669,0.93,0,0,1,1,32,0
Retail,Rivers,Inventory,133,2897168.89,2484136.99,5917624.6,9,0.315,54,53651.28,7,0.28,0.452,2,0,1,0,41,0
Trading,Kano,Vehicle,56,1247047.97,1072934.43,1259686.71,12,0.206,52,23981.69,14,0.5,0.537,1,1,1,0,54,0
Food Services,Abuja,None,170,178753.89,139029.63,348385.8,12,0.216,60,2979.23,10,0.448,0.443,1,0,1,0,34,1
Tech,Kano,Equipment,45,961379.43,780947.93,1234934.2,9,0.408,55,17479.63,7,0.179,0.232,1,0,0,0,41,0
Food Services,Delta,Vehicle,116,1030265.8,664141.79,2327479.69,3,0.353,54,19079.0,14,0.503,0.934,2,0,1,0,37,0
Transport,Enugu,Inventory,120,746377.06,668380.34,904125.49,24,0.255,51,14634.84,4,0.895,0.209,2,1,0,1,54,1
Fashion,Kaduna,Equipment,173,436694.9,246677.06,505304.21,18,0.158,55,7939.91,5,0.795,0.813,0,0,1,1,49,1
Fashion,Abuja,Inventory,103,526302.84,323423.21,1507019.88,18,0.191,57,9233.38,10,0.217,0.555,2,1,1,1,36,1
Agric,Delta,Property,179,410141.12,388284.34,1136808.08,18,0.369,57,7195.46,6,0.836,0.717,3,0,1,1,47,0
Retail,Kano,Vehicle,51,260259.23,242608.06,424056.77,3,0.345,58,4487.23,12,0.145,0.447,2,0,1,0,51,1
Tech,Enugu,Equipment,144,2493976.67,1816685.65,6019633.38,24,0.258,77,32389.31,7,0.094,0.774,0,0,1,0,22,0
Tech,Enugu,Vehicle,44,1613768.07,1169333.89,4768936.86,3,0.328,68,23731.88,4,0.274,0.455,3,0,1,1,63,0
Trading,Enugu,Inventory,179,564425.4,311884.08,407268.37,18,0.377,60,9407.09,11,0.236,0.898,4,0,1,1,28,0
Tech,Oyo,Inventory,137,1001450.97,797998.69,2018337.43,24,0.343,60,16690.85,8,0.586,0.503,2,0,1,1,27,0
Agric,Kano,None,113,1035847.82,532389.12,1174386.09,12,0.222,60,17264.13,7,0.421,0.447,0,0,1,0,25,0
